일련번호,파일명,법인명,팀명,직군,직렬,직무,직무소개,학위,전공,최소연차,경력연차,경력배경,자격증,포트폴리오,주요업무책임,주요업무환경,필수자격,필수자격요건,선호자격요건,필요역량
O0055,JD_IP사업_상품디자인_그래픽디자인 Jr_O0055.docx,BHI_KR,none,IP사업,상품디자인,그래픽디자인 (Jr/Sr),"회사의 IP콘텐츠를 기반으로 한 소비재 상품 및 컨셉을 디자인하기 위해, 전체적인 스타일 및 구성요소를 기획·개발합니다. 고유한 IP콘텐츠의 특성 및 소비자의 니즈를 함께 고려하여 신선하고 독창적인 상품 디자인을 가이드합니다. 다양한 전문가들과 함께 기존과는 다른 독창적 상품/그래픽 디자인을 제작하는 경험을 할 수 있습니다.",학사,['전공 무관'],none,3,이상 다양한 스타일의 그래픽디자인 및 아트워크 개발 경험을 보유한 분,['none'],['해당 업무 관련 포트폴리오 제출 필수(지원서와 함께 제출)'],"['IP 콘텐츠 및 브랜드의 그래픽 아트워크 기획/개발', '컨셉에 부합하는 그래픽 디자인/레이아웃 기획/개발']",['none'],"['디자인 매뉴얼/가이드, 상품 디자인, 패키지 디자인 관련 분야', 'IP 콘텐츠 및 컨셉을 기반으로 한 그래픽 기획/개발 경험을 보유한 분', 'IP 콘텐츠 및 컨셉을 활용한 상품 디자인 기획 및 개발에 대한 이해도가 높은 분', 'Adobe 프로그램 (Photoshop, Illustrator, InDesign 등) 활용이 능통한 분', '국내/외 디자인 트렌드에 대한 높은 이해를 기반으로 새로운 콘텐츠를 빠르게 파악하고 습득하여 표현할 수 있는 분']","['학사 이상', '전공 무관', '3년 이상 다양한 스타일의 그래픽디자인 및 아트워크 개발 경험을 보유한 분', '디자인 매뉴얼/가이드, 상품 디자인, 패키지 디자인 관련 분야', 'IP 콘텐츠 및 컨셉을 기반으로 한 그래픽 기획/개발 경험을 보유한 분', 'IP 콘텐츠 및 컨셉을 활용한 상품 디자인 기획 및 개발에 대한 이해도가 높은 분', 'Adobe 프로그램 (Photoshop, Illustrator, InDesign 등) 활용이 능통한 분', '국내/외 디자인 트렌드에 대한 높은 이해를 기반으로 새로운 콘텐츠를 빠르게 파악하고 습득하여 표현할 수 있는 분', '해당 업무 관련 포트폴리오 제출 필수(지원서와 함께 제출)']","['개성있고 스타일리쉬한 아트웍, 일러스트레이션, 타입디자인 개발 및 응용이 가능한 분']","['기본 디자인 스킬과 열린 관찰력을 바탕으로 이를 창의적으로 구체화시키는 역량', '새로운 시도와 실험에 열린 자세', '최신 디자인 관련 트렌드/기술을 지속적으로 업데이트하는 학습 능력', '결과물 품질과 완성도에 대한 높은 기준', '다양한 유관부서/외부 관계자들과 효과적으로 협력할 수 있는 팀워크']"
J0025,JD_사업관리_PM_레이블 운영·사업 PM(レーベル運営·事業PM)_J0025.docx,BHE_JP,none,사업관리,PM,레이블 운영·사업 PM,"음반 출시 및 이에 파생된 다양한 아티스트 활동이 성공적으로 진행될 수 있도록, 관련 일정을 수립하고 관리합니다. 이를 위해, 회사 내/외부 관계자들과 긴밀하게 협의하며, 일정 및 예산 내에서 프로젝트 목표를 달성하기 위해 업무계획을 조율하고 진행상황을 모니터링합니다. 아티스트의 음반과 관련 활동들이 일관성을 가지고 진행되려면 전사 차원의 협업과 지원이 필수적입니다. 이를 운영하는 PM으로서 효율적 프로젝트 관리를 통해 음반 프로젝트의 미션을 달성하는 데 기여합니다.",학사,['전공 무관'],none,3,이상 관련 업무 경험자,['none'],['none'],"['앨범 출시 및 프로모션, 투어, 방송 등 관련 제반 업무 일정 및 전사 협업 관리', '음반/아티스트 관련 프로젝트 모니터링 및 성과 관리', '음반/아티스트 프로젝트 관련 주요 회의 운영 및 산출물 관리']",['음반 일정/이슈에 따라 업무 집중 시기가 존재함'],"['프로젝트 관리 업무 경험을 보유한 분', '시장조사 및 트렌드 분석 능력 및 경험을 보유한 분', '꼼꼼하고 철저하게 디테일을 살피며 업무를 수행하는 분', '다양한 유관부서 관계자와 효과적으로 커뮤니케이션하며 협업할 수 있는 분']","['학사 이상', '전공 무관', '3년 이상 관련 업무 경험자', '프로젝트 관리 업무 경험을 보유한 분', '시장조사 및 트렌드 분석 능력 및 경험을 보유한 분', '꼼꼼하고 철저하게 디테일을 살피며 업무를 수행하는 분', '다양한 유관부서 관계자와 효과적으로 커뮤니케이션하며 협업할 수 있는 분']","['음반 산업 및 엔터테인먼트 업계에 대한 이해도가 높은 분', '비즈니스 한국어 및 영어 커뮤니케이션이 원활한 분', '회의체 운영 및 사업관리 경력을 보유한 분', '엔터, 미디어, 광고, 게임 IT 관련 프로젝트 관리 또는 관련 경력/지식을 보유한 분', '문서 작성 및 경영진 커뮤니케이션이 가능한 분']","['전략적 사고력', '적극적이고 선제적인 문제해결력', '높은 수준의 업무 디테일 및 결과물 품질과 완성도에 대한 높은 기준', '상황 대응을 위한 빠른 판단력과 결단력', '리더십과 조직관리 역량']"
O0086,JD_사업관리_Finance_재무/회계 (자회사관리)_O0086.docx,BHE_BA_KR,none,사업관리,Finance,재무/회계 (자회사관리),"빅히트 각 자회사의 재무회계 담당자로서 회계 및 세무 관련 전반적 업무 운영을 관리하고, 재무/회계 관련 주요 보고자료 작성 및 조정 업무를 수행합니다. 이 과정에서 급성장하는 사업이 원활하게 안착할 수 있도록, 사업 유관 담당자와 긴밀하게 관련 업무/이슈에 대해 논의합니다. 재무/회계 전문가로서 역량을 발휘하여 CEO 및 사업담당부서가 올바른 의사결정을 할 수 있도록 지원합니다.",학사,['회계'],3,10,년 이상 관련 업무 경험자,['none'],['none'],"['회계 관리 전반 담당', '법인 결산 수행', '외부감사 수감', '경영진 보고용 보고서 작성', '최신 회계 및 세무 관련 법률/법규/정책의 회사 정책 부합 여부 검토 및 의견 제시', '빅히트엔터테인먼트와 재무회계 관련 전반 커뮤니케이션 담당']",['결산 등  업무 집중 시기 존재'],"['더존 I - CUBE 사용 가능한 분', '엔터테인먼트 또는 IT산업 (게임, 플랫폼, 미디어, 커머스 등)의 업무 이해도가 높은 분', '회계, 정산, 원가관리 업무경험이 있거나 관련 이해도가 높은 분', '외부감사 수검 경험을 보유한 분', '결산 조정이 가능한 분', '조직의 중간관리급 이상으로 관련 업무를 주도적으로 수행한 경험을 보유한 분', '경영진 대상 업무 수행 및 보고 능력 (프리젠테이션 자료 작성/발표)이 우수한 분', '팀 내/간 구성원 커뮤니케이션이 원활한 분', '성실하고 기민하여 꼼꼼한 업무수행이 가능한 분']","['학사이상', '회계 관련 전공', '3~10년 이상 관련 업무 경험자', '더존 I - CUBE 사용 가능한 분', '엔터테인먼트 또는 IT산업 (게임, 플랫폼, 미디어, 커머스 등)의 업무 이해도가 높은 분', '회계, 정산, 원가관리 업무경험이 있거나 관련 이해도가 높은 분', '외부감사 수검 경험을 보유한 분', '결산 조정이 가능한 분', '조직의 중간관리급 이상으로 관련 업무를 주도적으로 수행한 경험을 보유한 분', '경영진 대상 업무 수행 및 보고 능력 (프리젠테이션 자료 작성/발표)이 우수한 분', '팀 내/간 구성원 커뮤니케이션이 원활한 분', '성실하고 기민하여 꼼꼼한 업무수행이 가능한 분']","['IFRS 도입 관련 자문 수행 경력자 우대 (회계법인 감사부서 경험자 선호)', '전자상거래 기업 및  IT업계에서 회계 관련 경험을 보유한 분', 'B2C 수출 및 해외영업 업계에서 회계 관련 경험한 분', 'inApp Purchase 정산 관련 결산 경험한 분', '공인회계사 혹은 회계 관련 자격증을 보유한 분 (지원서와 함께 자격증 사본 제출)', '영어나 일본어 커뮤니케이션에 원활한 분']","['분석력 및 문제 해결력', '문제해결을 위해 올바른 계산 방식 등을 선택할 수 있는 수리 추론 능력', '데이터/수치화 된 자료를 능숙하게 다룰 수 있는 수리 감각', '다양한 구성원들과 원활히 소통할 수 있는 커뮤니케이션 능력', '상황에 따라 효과적으로 팀 관리 및 업무 분장/지시를 할 수 있는 리더십']"
D0017,JD_커뮤니케이션_PR_커뮤니케이션 스페셜리스트 (가칭)_D0017.docx,BHE_BIGC_KR,none,커뮤니케이션,PR,커뮤니케이션 스페셜리스트 (가칭),"커뮤니케이션실 부서들과 협업하여 최고의 내/외부 커뮤니케이션 콘텐츠를 만들어내는 역할을 수행합니다. 외부로 전달되는 메시지, 언론자료, 콘텐츠들에 대한 최종 검수를 진행하며, 내부적으로는 담당부서 교육 및 자문, 사내 주요 스피커들에 대한 미디어 트레이닝을 담당합니다.",학사,['전공 무관'],none,10,이상 커뮤니케이션 관련 업무 경력자,['none'],['none'],"['커뮤니케이션실 및 유관부서 콘텐츠 최종 검수', '커뮤니케이션실 및 유관부서 콘텐츠 기획 자문', '실무부서 구성원 대상 교육', '사내 주요 스피커들에 대한 미디어 트레이닝']","['이슈 상시대응을 위한 유동적 업무시간', '국내외 출장 비중 10%']","['미디어 또는 PR Agency에서 매체/언론대응 경험을 보유한 분', '보도자료 및 기사 작성 등 프로페셔널한 글쓰기(국문/영문)에 탁월한 능력이 있는 분', '미디어 트레이닝 경험이 있는 분', '국내/외 언론 환경 및 미디어에 대한 이해도가 높은 분']","['학사 이상', '전공 무관', '10년 이상 커뮤니케이션 관련 업무 경력자', '미디어 또는 PR Agency에서 매체/언론대응 경험을 보유한 분', '보도자료 및 기사 작성 등 프로페셔널한 글쓰기(국문/영문)에 탁월한 능력이 있는 분', '미디어 트레이닝 경험이 있는 분', '국내/외 언론 환경 및 미디어에 대한 이해도가 높은 분']","['언론사 근무 경력을 보유한 분', '커뮤니케이션 혹은 경영학 관련 전공자']","['높은 수준의 업무 디테일', '결과물 품질과 완성도에 대한 높은 기준', '민감한 이슈/사안에 대해 효과적으로 처리할 수 있는 문제해결능력', '기민한 상황대처능력 및 유연함', '다양한 유관부서/외부 관계자들과 협업할 수 있는 협력적 사고 및 커뮤니케이션 능력']"
O0129,JD_크리에이티브_VC_Visual Creative 컨설팅_O0129.docx,BHE_BIGC_KR,none,크리에이티브,VC,스타일디렉팅,"아티스트의 비주얼 콘텐츠 (음반, 뮤직 비디오 등) 관련하여 해당 레이블 아티스트의 특성 및 활동 방향성에 부합하는 콘텐츠를 기획하고 개발합니다. 또한 각 레이블에서 기획/제작한 아티스트의 비주얼 콘텐츠를 체계적으로 관리하고, 필요 시 자문 및 가이드 역할을 수행합니다. 여러 레이블 소속 다양한 아티스트 관련 비주얼 콘텐츠 강화에 기여할 수 있습니다.",학력 무관,"['시각 디자인', '영상 디자인']",none,3,이상 관련 업무 경험자,['none'],['해당 업무 관련 포트폴리오 제출이 가능한 분 (지원서와 함께 제출)'],"['관련 외부 협력업체/자원 발굴 및 관리', '아티스트 비주얼 콘텐츠 관리 시스템 구축 및 운영', '아티스트 음반이나 뮤직비디오 등 비주얼 콘텐츠 기획 및 제작관리,가이드 제공', '비주얼 디자인 및 이미지 작업 감수']",['none'],"['콘텐츠 기획 및 제작경험을 보유한 분', '패키지 및 인쇄물 기획 및 제작경험을 보유한 분', 'Adobe 프로그램 (Photoshop, Illustrator, InDesign 등) 활용이 능통한 분']","['학력 무관', '시각 디자인 또는 영상 디자인 전공자', '3년 이상 관련 업무 경험자', '콘텐츠 기획 및 제작경험을 보유한 분', '패키지 및 인쇄물 기획 및 제작경험을 보유한 분', 'Adobe 프로그램 (Photoshop, Illustrator, InDesign 등) 활용이 능통한 분', '해당 업무 관련 포트폴리오 제출이 가능한 분 (지원서와 함께 제출)']","['콘텐츠 기획 및 제작 관련 디렉팅 경험을 보유한 분', '촬영 등 현장 관리 업무 경험을 보유한 분', '최신 트렌드 및 이를 활용한 업무에 관심이 많은 분', '국내/외 디자인 트렌드에 대한 높은 이해도를 보유한 분']","['프로젝트 기획 및 관리 능력', '효과적 커뮤니케이션 능력', '합리적 문제해결능력', '맡은 업무를 끝까지 완성도 있게 마무리 하는 책임감', '결과물 품질과 완성도에 대한 높은 기준']"
O0073,JD_IP사업_출판_웹툰PD_O0073.docx,BHI_KR,none,IP사업,출판,웹툰 PD,회사가 가진 IP 콘텐츠를 웹툰 형식으로 확장하거나 회사가 추구하는 방향/컨셉에 부합하는 독창적인 웹툰 콘텐츠를 기획/발굴합니다. 새로운 도전을 두려워 하지 않는 빅히트에서 오리지널 콘텐츠를 기획/제작하는 경험을 할 수 있습니다.,학사,['전공 무관'],none,5,이상 관련 업무 경험을 보유한 분,['none'],['none'],"['웹툰 기획 및 작가 발굴/관리', '웹툰 작품 진행 및 제작']",['none'],"['만화 에이전시 및 웹툰 플랫폼에서 작품 기획 경험을 보유한 분', '신인 작가 발굴 및 관리 경험을 보유한 분', '다양한 장르의 웹툰 기획 및 제작, 관리 경험을 보유한 분']","['학사 이상', '전공 무관', '5년 이상 관련 업무 경험을 보유한 분', '만화 에이전시 및 웹툰 플랫폼에서 작품 기획 경험을 보유한 분', '신인 작가 발굴 및 관리 경험을 보유한 분', '다양한 장르의 웹툰 기획 및 제작, 관리 경험을 보유한 분']","['독자에 대한 이해를 바탕으로 한 새로운 출판물 기획 능력을 보유한 분', '스토리에 대한 깊은 이해를 보유한 분', '탁월한 교정/교열 능력을 보유한 분', '다양한 작가 네트워크를 보유한 분', '작가/외주사 등과의 커뮤니케이션이 원활한 분']","['피드백 사항을 정확히 전달하고 작가와 유기적으로 소통할 수 있는 능력', '최신 트렌드에 대한 관심과 학습능력', '사소한 부분도 놓치지 않고 확인하는 세심함', '기민한 판단력과 상황에 대처할 수 있는 유연함']"
O0053,JD_IP사업_상품디자인_스타일가이드 (그래픽디자인 Jr.)_O0053.docx,BHI_KR,none,IP사업,상품디자인,스타일가이드 (그래픽디자인 Jr/Sr),"회사의 IP콘텐츠를 기반으로 한 소비재 상품을 디자인하기 위해, 제품/패키지 스타일 및 구성요소를 기획합니다. 고유한 IP콘텐츠의 특성 및 소비자의 니즈를 함께 고려하여 신선하고 독창적으로 제품 및 패키지를 디자인 합니다. 기존과는 다른 독창적 상품/그래픽 디자인을 경험하며 전문가로 성장할 수 있습니다.",학사,['전공 무관'],none,5,이상 그래픽 디자인 경험을 보유한 분,['none'],['해당 업무 관련 포트폴리오 제출이 가능한 분 (지원서와 함께 제출)'],"['IP 콘텐츠 및 브랜드의 스타일가이드 개발', '컨셉에 부합하는 그래픽 디자인/레이아웃 개발', '글로벌 파트너와의 상품 개발']",['none'],"['디자인 매뉴얼/가이드, 캐릭터, 패키지 관련 분야 그래픽 디자이너', 'IP 콘텐츠 및 브랜드를 기반으로 한 다양한 스타일의 그래픽 기획/개발 경험을 보유한 분', 'Adobe 프로그램 (Photoshop, Illustrator, InDesign 등) 활용이 능통한 분']","['학사 이상', '전공 무관', '5년 이상 그래픽 디자인 경험을 보유한 분', '디자인 매뉴얼/가이드, 캐릭터, 패키지 관련 분야 그래픽 디자이너', 'IP 콘텐츠 및 브랜드를 기반으로 한 다양한 스타일의 그래픽 기획/개발 경험을 보유한 분', 'Adobe 프로그램 (Photoshop, Illustrator, InDesign 등) 활용이 능통한 분', '해당 업무 관련 포트폴리오 제출이 가능한 분 (지원서와 함께 제출)']","['디자인 매뉴얼 개발 경험을 보유한 분', '라이센스 상품 디자인 감수 경험을 보유한 분 (글로벌 IP 경험 우대)', '비즈니스 외국어 커뮤니케이션이 가능한 분 (영어 외)']","['뛰어난 관찰력을 바탕으로 이를 창의적으로 구체화시키는 역량', '새로운 시도나 실험에 열린 자세', '최신 디자인 관련 트렌드/기술을 지속적으로 업데이트하는 학습 능력', '결과물 품질과 완성도에 대한 높은 기준', '다양한 유관부서/외부 관계자들과 효과적으로 협력할 수 있는 팀워크']"
O0180,JD_사업관리_HR_인사지원 (인터뷰스케쥴러)_O0180.docx,BHE_BA_KR,none,사업관리,HR,인사지원 (인터뷰스케쥴러),"채용 프로세스 전반에 대한 업무 지원을 합니다. 선별된 지원자와 회사 내 관련 담당자 사이에서 신속하게 일정을 조율하고, 면접 진행에 필요한 관련 자료/정보를 제공 및 관리합니다. 우수한 인재를 회사에 적시에 영입할 수 있게 기여하며, 인사 전문가로 성장할 수 있는 경험을 할 수 있습니다.",학사,['전공 무관'],none,none,none,['none'],['none'],"['채용 프로세스 운영 및 관리 지원 (인터뷰 일정 계획 수립 및 관리 등)', '지원자 커뮤니케이션: 일정 조율 및 인터뷰 안내', '리크루팅/채용 관련 업무 지원 (채용공고 관리 등)']",['none'],"['여러 업무 일정을 효율적으로 관리하는 분', 'MS Office/Google 문서 등을 활용한 문서 작성 및 관리가 능숙한 분', '다양한 유관부서와의 협업을 바탕으로 능동적으로 업무를 수행하는 분', '정확한 정보 전달 및 세심한 커뮤니케이션이 가능한 분', '인사 담당자로서 성장하고자 하는 명확한 경력 목표를 가진 분']","['학사이상', '전공 무관', '신입 또는 2년 이하 관련 업무 경험자', '여러 업무 일정을 효율적으로 관리하는 분', 'MS Office/Google 문서 등을 활용한 문서 작성 및 관리가 능숙한 분', '다양한 유관부서와의 협업을 바탕으로 능동적으로 업무를 수행하는 분', '정확한 정보 전달 및 세심한 커뮤니케이션이 가능한 분', '인사 담당자로서 성장하고자 하는 명확한 경력 목표를 가진 분']","['리크루팅/채용 관련 업무 경험을 보유한 분', '외국어 커뮤니케이션이 가능한 분 (영어, 일본어, 중국어 등)']","['높은 수준의 업무 디테일 (꼼꼼함과 정확성)', '효과적 커뮤니케이션 능력 (Verbal & Written)', '기민한 상황대처능력 및 유연함', '본인의 업무에 대한 강한 책임감', '*계약직: 1년 (1년 근무 후 정규직 전환 심사)']"
O0135,JD_플랫폼 사업_IT개발_보안(서비스)_O0135.docx,BNX_KR,none,플랫폼 사업,IT개발,보안 (서비스),"아티스트와 글로벌 팬이 함께 하는 모바일/온라인 플랫폼을 안전하게 보호하여, 아티스트와 팬이 안심하고 소통하며 플랫폼 서비스를 이용할 수 있게 합니다. 글로벌 e-commerce와 community 플랫폼인 위버스(Weverse)와 위버스 샵 (Weverse Shop) 서비스에 대한 Security Best Practice를 만들어 가는 경험을 할 수 있습니다.",학력 무관,['none'],none,3,"이상 모바일앱 (이커머스, 커뮤니티 기능) 모의해킹 및 취약점 점검 업무 경험자",['none'],['none'],"['AWS Cloud 서비스 환경에서의 침입대응체계 고도화 및 모니터링 분석/대응', '로그/이상행위 모니터링 체계 고도화 및 분석/대응', '서비스 릴리즈 보안진단 및 모의해킹', '글로벌 국가별 개인정보 법규 준수 여부 검토', '침해위협 및 이상행위 상시 탐지 및 차단']",['침해위협 및 이상행위 감지 등 이슈에 따라 업무 집중 시기가 존재함'],"['OWASP TOP 10, M-OWASP TOP 10 기반으로 보안 취약점에 선제적으로 대비할 수 있는 분']","['학력 및 전공 무관', '3년 이상 모바일앱 (이커머스, 커뮤니티 기능) 모의해킹 및 취약점 점검 업무 경험자', '1년 이상 모바일앱 서비스 보안 담당 업무 경험자', 'OWASP TOP 10, M-OWASP TOP 10 기반으로 보안 취약점에 선제적으로 대비할 수 있는 분']","['ISMS 또는 ISO27001 등 정보보안 관련 인증 심사원 자격을 보유한 분', 'ISMS 또는 ISO27001 정보보안 인증 취득 및 유지 관리 경험이 있는 분', '원활한 커뮤니케이션 능력을 보유한 분', '새로운 기술 습득에 관심을 가지고 거부감이 없는 분']","['최신 서비스 보안 관련 트렌드/기술/정책 변화를 업데이트하는 학습 능력', '논리적 분석력 및 합리적 문제 해결력', '예견되는 기회/리스크를 미리 예측하여 대응하는 주도성', '높은 수준의 업무 디테일']"
O0172,JD_크리에이티브_VC_그래픽디자인 (VC) Sr_O0172.docx,BHE_Label_KR,none,크리에이티브,VC,그래픽디자인 (VC),"빅히트 소속 아티스트와 음악 컨셉에 따라, 전체적인 디자인을 기획하고 개발합니다. 아티스트의 특성과 활동 방향성을 함께 고려하여 디자인을 가이드하여, 의도한 컨셉과 메세지가 효과적으로 구현되도록 합니다. 최고의 역량을 가진 다양한 전문가들과 함께 아티스트의 브랜드를 높일 수 있는 그래픽 디자인 제작경험을 할 수 있습니다.",학력 무관,['전공 무관'],none,7,이상 관련 비주얼 그래픽 디자인 경력을 보유한 분,['none'],['해당 업무 관련 포트폴리오 제출이 가능한 분 (지원서와 함께 제출)'],"['음반 디자인 및  BI 컨셉 기획과 개발', '소속 아티스트 비주얼 디자인 (의상, 소품 등) 관련 가이드 기획/개발', '컨셉에 부합하는 Visual Creative 그래픽 디자인/레이아웃 기획/개발']",['none'],"['BI 개발 경험을 보유한 분', '디자인 스튜디오 또는 에이전시에서 디자인 기획/제작 경험을 보유한 분', '콘텐츠 기획력을 보유한 분', '디자인 에이전시 관리 경험을 보유한 분', 'Adobe 프로그램 (Photoshop, Illustrator, InDesign 등) 활용이 능통한 분', '국내/외 디자인 트렌드에 대한 높은 이해도를 보유한 분', '비즈니스 영어 커뮤니케이션이 가능한 분']","['학력 무관', '전공 무관', '7년 이상 관련 비주얼 그래픽 디자인 경력을 보유한 분', 'BI 개발 경험을 보유한 분', '디자인 스튜디오 또는 에이전시에서 디자인 기획/제작 경험을 보유한 분', '콘텐츠 기획력을 보유한 분', '디자인 에이전시 관리 경험을 보유한 분', 'Adobe 프로그램 (Photoshop, Illustrator, InDesign 등) 활용이 능통한 분', '국내/외 디자인 트렌드에 대한 높은 이해도를 보유한 분', '비즈니스 영어 커뮤니케이션이 가능한 분', '해당 업무 관련 포트폴리오 제출이 가능한 분 (지원서와 함께 제출)']","['Visual Creative 디자인 관련 경험을 보유하신 분', '아티스트 관련 디자인 감수 및 기획 경험을 보유한 분', '로고타입, 서체 개발 경험을 보유한 분', '음악에 대한 애정과 관심이 있는 분']","['뛰어난 관찰력과 센스를 바탕으로 창의적 디자인을 만들 수 있는 역량', '최신 디자인 관련 트렌드/기술을 지속적으로 업데이트하는 학습 능력', '결과물의 완성도를 높이기 위한 적극적 의견 개진', '새로운 시도나 실험/경험에 열린 자세', '다양한 유관부서/외부 관계자들과 효과적으로 협력할 수 있는 팀워크']"
O0075,JD_IP사업_영업/마케팅_미디어사업 (애니메이션)_O0075.docx,BHI_KR,none,IP사업,영업/마케팅,미디어사업 (애니메이션),"회사가 가진 IP 콘텐츠에 기반한 애니메이션 관련 사업모델을 기획하고, 방향성을 수립합니다. 기획 대로 애니메이션 제작이 이루어질 수 있도록 제작 관련 국내/외 스튜디오와의 연계를 추진하며, 완성도 높은 결과물을 만듭니다. 애니메이션 콘텐츠를 통해서 사람들에게 위로와 감동을 줄 수 있는 애니메이션 사업 전문가로 성장할 수 있습니다.",학사,['전공 무관'],none,5,이상 관련 업무 경험을 보유한 분,['none'],['none'],"['IP기반 애니메이션 스토리 기획 및 사업모델 개발', '관련 사업분석 및 사업방향 수립']",['none'],"['애니메이션 기획 및 사업 모델 발굴 경험을 보유한 분', '국내/외 영상 콘텐츠 사업 경향 및 미디어 트렌드에 대한 이해도가 높은 분', '국내/외 애니메이션 스튜디오 네트워크를 보유한 분', '영어 커뮤니케이션이 가능한 분']","['학사 이상', '전공 무관', '5년 이상 관련 업무 경험을 보유한 분', '애니메이션 기획 및 사업 모델 발굴 경험을 보유한 분', '국내/외 영상 콘텐츠 사업 경향 및 미디어 트렌드에 대한 이해도가 높은 분', '국내/외 애니메이션 스튜디오 네트워크를 보유한 분', '영어 커뮤니케이션이 가능한 분']","['다수의 애니메이션 기획 및 제작 프로젝트 경험을 보유한 분', '국내/외 미디어 플랫폼에 대한 높은 이해 및 판권 판매 경험을 보유한 분']","['높은 수준의 업무 디테일', '결과물 품질과 완성도에 대한 높은 기준', '빠르게 변화하는 업계에서 다양한 프로젝트를 동시에 관리할 수 있는 역량', '효과적 커뮤니케이션 능력', '다양한 구성원들과 팀으로 협력하며 일할 수 있는 유연함']"
D0010,JD_사업관리_총무_총무 (해외부동산 관리)_D0010.docx,BHE_BA_KR,none,사업관리,총무,총무 (해외 부동산 관리),"해외 법인에서 사업수행에 필요한 각종 부동산 물색 및 관련 계약 등 부동산관련 전반적 기획/운영 및 관리 업무를 수행합니다. 국내 부동산 관련 업무도 함께 지원하며, 국내/외를 막론하고 회사의 공간, 업무용 자산 운영 등에 대한 선제적 기획 및 관리를 통해 구성원들이 업무에 집중할 수 있도록 합니다. 구성원들의 니즈를 파악/모니터링 하면서 개선 영역을 찾아 업무 환경과 공간운영 방식을 개발하고 개선함으로써, 회사가 추구하는 철학과 다양한 구성원의 특성을 반영한 종합적인 업무 지원 및 환경구축에 대한 경험을 할 수 있습니다.",학사,['전공 무관'],none,5,이상 해외 부동산 관련 업무 경험자,['none'],['none'],"['국내/외 법인 관련 부동산 물색', '임대차/매매 계약 협의 및 체결', '인테리어 설계 및 공사 관리, 공간 세팅', '부동산 운영 관리에 대한 전반적인 업무', '업무용 시설 및 자산 관리', '관련 업무에 대한 규정 및 운영안, 매뉴얼 수립, 기획, 운영, 관리', '사무실 공간 및 인프라/자산/비품/복지서비스에 대한 구성원 니즈 파악', '구성원에게 제공할 수 있는 관련 서비스/인프라 기획 및 진행', '유관 부서와의 협업을 통해 구성원 서비스 자동화/전산화/셀프서비스화 시스템 구축', '사무실 공간, 장비, 집기, 비품 등에 대한 준비 및 관리', '개선점 도출 후 환경/서비스 개선', '보건 및 안전관리 규정 모니터링', '기타 업무 지원 프로세스 기획 및 실행, 관리']",['none'],"['영어 커뮤니케이션에 능통한 분', '구성원을 포함한 내/외부 이해관계자들과 적시 소통 및 정확한 정보 전달이 가능한 분', '업무 프로그램(엑셀/스프레드시트, 프레젠테이션 등 각종 tool) 활용 능력이 탁월한 분', '보고서 내용 구성, 작성 능력이 탁월한 분']","['학사 이상', '전공 무관', '5년 이상 해외 부동산 관련 업무 경험자', '영어 커뮤니케이션에 능통한 분', '구성원을 포함한 내/외부 이해관계자들과 적시 소통 및 정확한 정보 전달이 가능한 분', '업무 프로그램(엑셀/스프레드시트, 프레젠테이션 등 각종 tool) 활용 능력이 탁월한 분', '보고서 내용 구성, 작성 능력이 탁월한 분']","['부동산 관련학과 전공자', '부동산 관련 자격증 소지자', '조직 관리 경험을 보유한 분']","['효과적 커뮤니케이션 능력', '다양한 유관부서/외부 관계자들과 협업할 수 있는 협력적 사고', '더 나은 개선점을 도출하려는 비판적 시각', '기민한 상황 대처 능력 및 사고의 유연함', '구성원 지원에 대한 서비스 마인드', '높은 수준의 업무 디테일 및 결과물 품질과 완성도에 대한 높은 기준', '수치화 된 자료/data 등을 능숙하게 다룰 수 있는 수리 감각 및 민첩한 분석력', '새로운 업무/문제 상황에 대한 솔루션을 적시에 찾아내서 해결하는 근성과 능력 (순발력과 집요함)']"
